Name,Url,Authority,Started On,Finished On,License Number
Data protection basics,https://online.atingi.org/admin/tool/certificate/index.php?code=8992189994MM,atingi.org,May 2025,,8992189994MM
Artificial Intelligence for Policy Makers,https://online.atingi.org/admin/tool/certificate/index.php?code=2721734589MM,atingi.org,May 2025,,2721734589MM
Digital Soft Skills Training,https://online.atingi.org/admin/tool/certificate/index.php?code=2296832077MM,atingi.org,May 2025,,2296832077MM
Ethical AI in Practice,https://online.atingi.org/admin/tool/certificate/index.php?code=0147101903MM,atingi.org,May 2025,,0147101903MM
Interpersonal Communication,https://online.atingi.org/admin/tool/certificate/index.php?code=2029657962MM,atingi.org,May 2025,,2029657962MM
AI Transfer Learning,https://online.atingi.org/admin/tool/certificate/index.php?code=8232376495MM,atingi.org,Apr 2025,,8232376495MM
GovStack : Consent Building Block,https://online.atingi.org/admin/tool/certificate/index.php?code=7057496151MM,atingi.org,Apr 2025,,7057496151MM
eCommerce in EU Marketplaces,https://online.atingi.org/admin/tool/certificate/index.php?code=4103117233MM,atingi.org,Apr 2025,,4103117233MM
Political Microtargeting: Dangers and Regulation of Data-Driven Campaigning,https://online.atingi.org/admin/tool/certificate/index.php?code=2503797835MM,atingi.org,Apr 2025,,2503797835MM
Cybersecurity,https://online.atingi.org/admin/tool/certificate/index.php?code=9123833022MM,atingi.org,Apr 2025,,9123833022MM
Digital and Social Media Marketing,https://online.atingi.org/admin/tool/certificate/index.php?code=0227754474MM,atingi.org,Apr 2025,,0227754474MM
Computing Skills for Business,https://online.atingi.org/admin/tool/certificate/index.php?code=1072538540MM,atingi.org,Apr 2025,,1072538540MM
E-Commerce and E-Business,https://online.atingi.org/admin/tool/certificate/index.php?code=3124242360MM,atingi.org,Apr 2025,,3124242360MM
Human Centered Design Crash Course,https://online.atingi.org/admin/tool/certificate/index.php?code=8659548751MM,atingi.org,Apr 2025,,8659548751MM
An Introduction to AI & Emerging Technologies,https://online.atingi.org/admin/tool/certificate/index.php?code=6404405368MM,atingi.org,Apr 2025,,6404405368MM
Digital Safety and Security,https://online.atingi.org/admin/tool/certificate/index.php?code=7741112872MM,atingi.org,Apr 2025,,7741112872MM
Conflict Management and Resolution,https://online.atingi.org/admin/tool/certificate/index.php?code=6112074836MM,atingi.org,Apr 2025,,6112074836MM
Customer Care & Complaint Management,https://online.atingi.org/admin/tool/certificate/index.php?code=3739856940MM,atingi.org,Apr 2025,,3739856940MM
"IS-00100.c: Introduction to Incident Command System, ICS-100",,FEMA,Apr 2025,,SID: 0009284968
"IS-00200.c: Basic Incident Command System for Initial Response, ICS-200",,FEMA,Apr 2025,,SID: 0009284968
IS-00700.b: An Introduction to the National Incident Management System,,FEMA,Apr 2025,,SID: 0009284968
IS-00703.b: National Incident Management System Resource Management,,FEMA,Apr 2025,,SID: 0009284968
"IS-00800.d: National Response Framework, An Introduction",,FEMA,Apr 2025,,SID: 0009284968
"IS-00860.c: The National Infrastructure Protection Plan, An Introduction",,FEMA,Apr 2025,,SID: 0009284968
IS-00906: Workplace Security Awareness,,FEMA,Apr 2025,,SID: 0009284968
IS-00915: Protecting Critical Infrastructure Against Insider Threats,,FEMA,Apr 2025,,SID: 0009284968
Networking Devices and Initial Configuration,https://www.credly.com/badges/a70f1c3f-fb28-4622-bef6-bdafaea54109/linked_in_profile,Cisco,Jun 2025,,
English for IT 2,https://www.credly.com/badges/76214c56-9843-437f-a7d0-10627168338d/linked_in_profile,Cisco,May 2025,,
English for IT 1,https://www.credly.com/badges/a1a11c98-d3c6-48b3-90bc-27030543cf05/linked_in_profile,Cisco,May 2025,,
Cyber Threat Management,https://www.credly.com/badges/6557dedf-725f-4a51-a236-195706cde6cd/linked_in_profile,Cisco,May 2025,,
Network Defense,https://www.credly.com/badges/97a615bd-0046-4eee-9ee6-98719596f98a/linked_in_profile,Cisco,May 2025,,
Endpoint Security,https://www.credly.com/badges/f49f1b18-5ed6-48af-bc55-58558ed90f3c/linked_in_profile,Cisco,May 2025,,
Ethical Hacker,https://www.credly.com/badges/df36c674-8cb3-4f4e-99b5-4b9f0229919a/linked_in_profile,Cisco,May 2025,,
Networking Basics,https://www.credly.com/badges/32625e7f-b279-4f06-88d4-82bab263cb80/linked_in_profile,Cisco,May 2025,,
Introduction to Cybersecurity,https://www.credly.com/badges/0ac50b77-f7fd-4558-a443-131a662662ad/linked_in_profile,Cisco,May 2025,,
SkillsBuild - Customer Engagement: Problem Solving and Process Controls,https://www.credly.com/badges/5224c7c6-2d4e-4102-a2dc-336ad4525560/linked_in_profile,IBM,May 2025,,
Security Operations Center in Practice,https://www.credly.com/badges/ec05f6d4-e40f-411c-a1d6-be846852c59a/linked_in_profile,IBM,May 2025,,
